"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
3207045;"Międzyzdroje - obszar wiejski (5)";901;
3207052;"Świerzno (2)";4040;
3207063;"Wolin (3)";11286;
3207064;"Wolin - miasto (4)";4688;
3207065;"Wolin - obszar wiejski (5)";6598;
3208000;"Powiat kołobrzeski";76839;
3208011;"Kołobrzeg (1)";46187;
3208022;"Dygowo (2)";5307;
3208033;"Gościno (3)";4786;
3208034;"Gościno - miasto (4)";2339;
3208035;"Gościno - obszar wiejski (5)";2447;
3208042;"Kołobrzeg (2)";10824;
3208052;"Rymań (2)";2870;
3208062;"Siemyśl (2)";3510;
3208072;"Ustronie Morskie (2)";3355;
3209000;"Powiat koszaliński";63685;
3209012;"Będzino (2)";8149;
3209022;"Biesiekierz (2)";6717;
3209033;"Bobolice (3)";8825;
3209034;"Bobolice - miasto (4)";3956;
3209035;"Bobolice - obszar wiejski (5)";4869;
3209042;"Manowo (2)";6867;
3209053;"Mielno (3)";4821;
3209054;"Mielno - miasto (4)";2861;
3209055;"Mielno - obszar wiejski (5)";1960;
3209063;"Polanów (3)";7981;
3209064;"Polanów - miasto (4)";2878;
3209065;"Polanów - obszar wiejski (5)";5103;
3209073;"Sianów (3)";12776;
3209074;"Sianów - miasto (4)";5870;
3209075;"Sianów - obszar wiejski (5)";6906;
3209082;"Świeszyno (2)";7549;
3210000;"Powiat myśliborski";63876;
3210013;"Barlinek (3)";19030;
3210014;"Barlinek - miasto (4)";13425;
3210015;"Barlinek - obszar wiejski (5)";5605;
3210022;"Boleszkowice (2)";2546;
3210033;"Dębno (3)";19961;
3210034;"Dębno - miasto (4)";13444;
3210035;"Dębno - obszar wiejski (5)";6517;
3210043;"Myślibórz (3)";19328;
3210044;"Myślibórz - miasto (4)";11037;
3210045;"Myślibórz - obszar wiejski (5)";8291;
3210052;"Nowogródek Pomorski (2)";3011;
3211000;"Powiat policki";81151;
3211012;"Dobra (Szczecińska) (2)";24646;
3211022;"Kołbaskowo (2)";13781;
3211033;"Nowe Warpno (3)";1622;
3211034;"Nowe Warpno - miasto (4)";1177;
3211035;"Nowe Warpno - obszar wiejski (5)";445;
3211043;"Police (3)";41102;
3211044;"Police - miasto (4)";32236;
3211045;"Police - obszar wiejski (5)";8866;
3212000;"Powiat pyrzycki";37365;
3212012;"Bielice (2)";2987;
3212022;"Kozielice (2)";2479;
3212033;"Lipiany (3)";5637;
3212034;"Lipiany - miasto (4)";3884;
3212035;"Lipiany - obszar wiejski (5)";1753;
3212042;"Przelewice (2)";4984;
3212053;"Pyrzyce (3)";17839;
3212054;"Pyrzyce - miasto (4)";12117;
3212055;"Pyrzyce - obszar wiejski (5)";5722;
3212062;"Warnice (2)";3439;
3213000;"Powiat sławieński";53378;
3213011;"Darłowo (1)";13313;
3213021;"Sławno (1)";12151;
3213032;"Darłowo (2)";7200;
3213042;"Malechowo (2)";5364;
3213052;"Postomino (2)";6843;
3213062;"Sławno (2)";8507;
3214000;"Powiat stargardzki";116841;
3214011;"Stargard (1)";66414;
3214023;"Chociwel (3)";5728;
3214024;"Chociwel - miasto (4)";3121;
3214025;"Chociwel - obszar wiejski (5)";2607;
3214033;"Dobrzany (3)";4465;
3214034;"Dobrzany - miasto (4)";2217;
3214035;"Dobrzany - obszar wiejski (5)";2248;
3214042;"Dolice (2)";7531;
3214053;"Ińsko (3)";3099;
3214054;"Ińsko - miasto (4)";1857;
3214055;"Ińsko - obszar wiejski (5)";1242;
3214062;"Kobylanka (2)";5843;
3214082;"Marianowo (2)";2858;
3214092;"Stara Dąbrowa (2)";3713;
3214102;"Stargard (2)";13357;
3214113;"Suchań (3)";3833;
3214114;"Suchań - miasto (4)";1402;
3214115;"Suchań - obszar wiejski (5)";2431;
3215000;"Powiat szczecinecki";76034;
3215011;"Szczecinek (1)";39441;
3215023;"Barwice (3)";8351;
3215024;"Barwice - miasto (4)";3592;
3215025;"Barwice - obszar wiejski (5)";4759;
3215033;"Biały Bór (3)";5006;
3215034;"Biały Bór - miasto (4)";2161;
3215035;"Biały Bór - obszar wiejski (5)";2845;
3215043;"Borne Sulinowo (3)";9435;
3215044;"Borne Sulinowo - miasto (4)";4960;
3215045;"Borne Sulinowo - obszar wiejski (5)";4475;
3215052;"Grzmiąca (2)";4637;
3215062;"Szczecinek (2)";9164;
3216000;"Powiat świdwiński";43732;
3216011;"Świdwin (1)";14691;
3216022;"Brzeżno (2)";2264;
3216033;"Połczyn-Zdrój (3)";14465;
3216034;"Połczyn-Zdrój - miasto (4)";7972;
3216035;"Połczyn-Zdrój - obszar wiejski (5)";6493;
3216042;"Rąbino (2)";3497;
3216052;"Sławoborze (2)";3850;
3216062;"Świdwin (2)";4965;
3217000;"Powiat wałecki";51311;
3217011;"Wałcz (1)";24763;
3217023;"Człopa (3)";4781;
3217024;"Człopa - miasto (4)";2260;
3217025;"Człopa - obszar wiejski (5)";2521;
3217033;"Mirosławiec (3)";5082;
3217034;"Mirosławiec - miasto (4)";3026;
3217035;"Mirosławiec - obszar wiejski (5)";2056;
3217043;"Tuczno (3)";4867;
3217044;"Tuczno - miasto (4)";1918;
3217045;"Tuczno - obszar wiejski (5)";2949;
3217052;"Wałcz (2)";11818;
3218000;"Powiat łobeski";35250;
3218013;"Dobra (3)";4063;
3218014;"Dobra - miasto (4)";2272;
3218015;"Dobra - obszar wiejski (5)";1791;
3218023;"Łobez (3)";13675;
3218024;"Łobez - miasto (4)";9912;
3218025;"Łobez - obszar wiejski (5)";3763;
3218032;"Radowo Małe (2)";3509;
3218043;"Resko (3)";7566;
3218044;"Resko - miasto (4)";3872;
3218045;"Resko - obszar wiejski (5)";3694;
3218053;"Węgorzyno (3)";6437;
3218054;"Węgorzyno - miasto (4)";2769;
3218055;"Węgorzyno - obszar wiejski (5)";3668;
3261000;"Powiat m.Koszalin";106201;
3261011;"Koszalin (1)";106201;
3262000;"Powiat m.Szczecin";381477;
3262011;"Szczecin (1)";381477;
3263000;"Powiat m.Świnoujście";40944;
3263011;"Świnoujście (1)";40944;
